time,id,source,dest
0,passenger1,0,2
1,passenger2,0,5
2,passenger3,0,4
3,passenger4,0,2
6,passenger5,0,9
7,passenger6,0,7
8,passenger7,0,1
9,passenger8,0,4
10,passenger9,0,9
13,passenger10,0,1
16,passenger11,0,4
19,passenger12,0,9
21,passenger13,0,4
23,passenger14,0,5
24,passenger15,0,3
27,passenger16,0,7
29,passenger17,0,5
30,passenger18,0,4
32,passenger19,0,2
33,passenger20,0,7
34,passenger21,0,6
36,passenger22,0,5
37,passenger23,0,8
40,passenger24,0,2
42,passenger25,0,2
45,passenger26,0,5
48,passenger27,0,6
51,passenger28,0,4
54,passenger29,0,2
55,passenger30,0,4
57,passenger31,0,2
58,passenger32,0,2
60,passenger33,0,5
62,passenger34,0,6
63,passenger35,0,6
65,passenger36,0,4
68,passenger37,0,5
71,passenger38,0,2
74,passenger39,0,3
77,passenger40,0,4
78,passenger41,0,8
80,passenger42,0,5
83,passenger43,0,9
84,passenger44,0,6
85,passenger45,0,4
86,passenger46,0,6
88,passenger47,0,5
89,passenger48,0,4
92,passenger49,0,6
93,passenger50,0,8
95,passenger51,0,8
96,passenger52,0,5
97,passenger53,0,4
100,passenger54,0,9
103,passenger55,0,5
106,passenger56,0,7
109,passenger57,0,7
111,passenger58,0,4
112,passenger59,0,9
114,passenger60,0,2
115,passenger61,0,2
116,passenger62,0,3
119,passenger63,0,7
122,passenger64,0,2
124,passenger65,0,7
127,passenger66,0,8
130,passenger67,0,5
133,passenger68,0,1
136,passenger69,0,2
139,passenger70,0,9
141,passenger71,0,6
142,passenger72,0,5
144,passenger73,0,3
146,passenger74,0,1
149,passenger75,0,5
152,passenger76,0,3
155,passenger77,0,2
158,passenger78,0,5
161,passenger79,0,9
164,passenger80,0,4
165,passenger81,0,6
166,passenger82,0,9
169,passenger83,0,1
172,passenger84,0,6
174,passenger85,0,1
175,passenger86,0,6
177,passenger87,0,4
178,passenger88,0,4
181,passenger89,0,2
182,passenger90,0,8
183,passenger91,0,9
184,passenger92,0,3
187,passenger93,0,8
190,passenger94,0,3
192,passenger95,0,9
195,passenger96,0,7
196,passenger97,0,9
199,passenger98,0,4
202,passenger99,0,5
204,passenger100,0,6
